2025-02-21 18:21:26,521 - logger - INFO - Logger is setup
2025-02-21 18:23:32,504 - logger - INFO - Logger is setup
2025-02-21 18:25:12,535 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:25:12.5', 'value': 4882.6875, 'unit': 'Seconds'}
2025-02-21 18:25:17,535 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:25:12.5', 'value': 0.8, 'unit': 'Percent'}
2025-02-21 18:25:17,536 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:25:12.5', 'value': 4882.6875, 'unit': 'Seconds'}
2025-02-21 18:25:23,539 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:25:23.5', 'value': 1.1, 'unit': 'Percent'}
2025-02-21 18:25:23,539 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:25:23.5', 'value': 4883.0, 'unit': 'Seconds'}
2025-02-21 18:25:28,540 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:25:23.5', 'value': 1.1, 'unit': 'Percent'}
2025-02-21 18:25:28,540 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:25:23.5', 'value': 4883.0, 'unit': 'Seconds'}
2025-02-21 18:25:34,542 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:25:34.5', 'value': 0.6, 'unit': 'Percent'}
2025-02-21 18:25:34,542 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:25:34.5', 'value': 4883.140625, 'unit': 'Seconds'}
2025-02-21 18:25:39,542 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:25:34.5', 'value': 0.6, 'unit': 'Percent'}
2025-02-21 18:25:39,543 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:25:34.5', 'value': 4883.140625, 'unit': 'Seconds'}
2025-02-21 18:25:45,545 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:25:45.5', 'value': 1.1, 'unit': 'Percent'}
2025-02-21 18:25:45,545 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:25:45.5', 'value': 4884.359375, 'unit': 'Seconds'}
2025-02-21 18:25:50,547 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:25:45.5', 'value': 1.1, 'unit': 'Percent'}
2025-02-21 18:25:50,547 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:25:45.5', 'value': 4884.359375, 'unit': 'Seconds'}
2025-02-21 18:25:56,548 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:25:56.5', 'value': 16.6, 'unit': 'Percent'}
2025-02-21 18:25:56,549 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:25:56.5', 'value': 4887.515625, 'unit': 'Seconds'}
2025-02-21 18:26:01,549 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:25:56.5', 'value': 16.6, 'unit': 'Percent'}
